model,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
pretrained,0.6318891687657431,0.5964432284541724,0.6022222222222222,0.45037037037037037,0.3160725261216964,0.32557403008709423,0.4825,0.4441489361702128
SUN397,0.7528463476070529,0.49185424698420593,0.542063492063492,0.4937037037037037,0.282921020282729,0.2974663499604117,0.4911,0.40106382978723404
Cars,0.5594962216624685,0.7766446959333416,0.5123809523809524,0.39555555555555555,0.29371542716656424,0.30245447347585114,0.5175,0.38882978723404255
RESISC45,0.5221662468513854,0.4718318617087427,0.9611111111111111,0.562962962962963,0.24189459127228027,0.22454473475851147,0.4963,0.3468085106382979
EuroSAT,0.5156171284634761,0.4528043775649795,0.3252380952380952,0.9988888888888889,0.1930700676090965,0.26057007125890735,0.3788,0.35851063829787233
SVHN,0.49309823677581865,0.40169133192389006,0.30253968253968255,0.12666666666666668,0.9746081745543946,0.3140934283452098,0.8569,0.2872340425531915
GTSRB,0.4644332493702771,0.3887576172117896,0.29523809523809524,0.21962962962962962,0.43895974185617703,0.9873317498020586,0.3953,0.2845744680851064
MNIST,0.49193954659949624,0.40206441984827757,0.3350793650793651,0.20703703703703705,0.49231714812538413,0.152652414885194,0.9969,0.274468085106383
DTD,0.5035768261964736,0.493844049247606,0.4185714285714286,0.3385185185185185,0.2891057160417947,0.22779097387173397,0.4776,0.7941489361702128
