dataset,acc
SUN397,0.7542569269521411
Cars,0.7849769929113294
RESISC45,0.9606349206349206
EuroSAT,0.9988888888888889
SVHN,0.9739167178856791
GTSRB,0.9876484560570071
MNIST,0.997
DTD,0.7941489361702128
