dataset,acc
SUN397,0.7524937027707809
Cars,0.784852630269867
RESISC45,0.9603174603174603
EuroSAT,0.9988888888888889
SVHN,0.9732636754763369
GTSRB,0.9871733966745844
MNIST,0.9966
DTD,0.7888297872340425
