dataset,acc
SUN397,0.7527455919395466
Cars,0.7854744434771794
RESISC45,0.9595238095238096
EuroSAT,0.9988888888888889
SVHN,0.9734941610325752
GTSRB,0.9864608076009501
MNIST,0.9965
DTD,0.7904255319148936
