dataset,acc
SUN397,0.6525440806045341
Cars,0.6333789329685362
RESISC45,0.7144444444444444
EuroSAT,0.7362962962962963
SVHN,0.6415949600491703
GTSRB,0.5280285035629454
MNIST,0.8746
DTD,0.5010638297872341
