dataset,acc
SUN397,0.8231234256926953
Cars,0.9246362392737222
RESISC45,0.9731746031746031
EuroSAT,0.9988888888888889
SVHN,0.9809849416103258
GTSRB,0.9923990498812352
MNIST,0.9969
DTD,0.8441489361702128
