dataset,acc
SUN397,0.7213602015113351
Cars,0.8155702027111056
RESISC45,0.826031746031746
EuroSAT,0.9144444444444444
SVHN,0.7822679778733866
GTSRB,0.706492478226445
MNIST,0.9701
DTD,0.6276595744680851
