model,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
pretrained,0.6823677581863979,0.7793806740455167,0.7133333333333334,0.6125925925925926,0.5844729563614014,0.5055423594615994,0.7636,0.5537234042553192
SUN397,0.8232241813602015,0.7117273970899142,0.6468253968253969,0.5462962962962963,0.5247387830362631,0.468646080760095,0.7511,0.5186170212765957
Cars,0.672191435768262,0.9238900634249472,0.6844444444444444,0.5640740740740741,0.5775968039336201,0.48368962787015046,0.7367,0.5558510638297872
RESISC45,0.6631738035264484,0.7154582763337893,0.9736507936507937,0.577037037037037,0.5268899815611555,0.48463974663499604,0.7885,0.5212765957446809
EuroSAT,0.6570780856423174,0.708493968411889,0.4695238095238095,0.9988888888888889,0.49070374923171484,0.46619160728424386,0.7503,0.48351063829787233
SVHN,0.6764735516372796,0.7078721552045766,0.643968253968254,0.37037037037037035,0.981138598647818,0.4719714964370546,0.9108,0.5191489361702127
GTSRB,0.6645843828715365,0.7344857604775525,0.6484126984126984,0.3448148148148148,0.6155500921942225,0.9923990498812352,0.8286,0.525
MNIST,0.6848362720403023,0.7300087053849024,0.6552380952380953,0.43444444444444447,0.6654118008604795,0.4410134600158353,0.9969,0.5260638297872341
DTD,0.6597984886649874,0.7444347717945529,0.6798412698412698,0.5574074074074075,0.5134449907805777,0.4777513855898654,0.6433,0.8414893617021276
