dataset,acc
SUN397,0.821360201511335
Cars,0.9245118766322596
RESISC45,0.9739682539682539
EuroSAT,0.9988888888888889
SVHN,0.9806776275353412
GTSRB,0.9925574030087094
MNIST,0.9969
DTD,0.8441489361702128
