epoch,dataset,score
0,glue-cola,0.7622243528283796
0,glue-mnli,0.8683647478349465
0,glue-mrpc,0.8627450980392157
0,glue-qnli,0.9388614314479223
0,glue-qqp,0.8591392530299282
0,glue-rte,0.8808664259927798
0,glue-sst2,0.9518348623853211
0,glue-stsb,0.8792174244404655
100,glue-cola,0.763183125599233
100,glue-mnli,0.8682628629648497
100,glue-mrpc,0.8602941176470589
100,glue-qnli,0.9390444810543658
100,glue-qqp,0.8592381894632698
100,glue-rte,0.8844765342960289
100,glue-sst2,0.9518348623853211
100,glue-stsb,0.8789170474406736
200,glue-cola,0.7612655800575263
200,glue-mnli,0.8704024452368824
200,glue-mrpc,0.8627450980392157
200,glue-qnli,0.9384953322350357
200,glue-qqp,0.8594855305466238
200,glue-rte,0.8844765342960289
200,glue-sst2,0.9529816513761468
200,glue-stsb,0.8796257063394549
300,glue-cola,0.7622243528283796
300,glue-mnli,0.872032603158431
300,glue-mrpc,0.8602941176470589
300,glue-qnli,0.9392275306608091
300,glue-qqp,0.858743507296562
300,glue-rte,0.8844765342960289
300,glue-sst2,0.9529816513761468
300,glue-stsb,0.8779574803418736
400,glue-cola,0.7612655800575263
400,glue-mnli,0.872949566989302
400,glue-mrpc,0.8578431372549019
400,glue-qnli,0.9383122826285923
400,glue-qqp,0.8587187731882265
400,glue-rte,0.8844765342960289
400,glue-sst2,0.9518348623853211
400,glue-stsb,0.8752305064162169
500,glue-cola,0.7612655800575263
500,glue-mnli,0.8737646459500764
500,glue-mrpc,0.8553921568627451
500,glue-qnli,0.9377631338092624
500,glue-qqp,0.8589413801632451
500,glue-rte,0.8844765342960289
500,glue-sst2,0.9518348623853211
500,glue-stsb,0.8744559535044725
600,glue-cola,0.7593480345158198
600,glue-mnli,0.8747834946510443
600,glue-mrpc,0.8553921568627451
600,glue-qnli,0.9383122826285923
600,glue-qqp,0.8585703685382142
600,glue-rte,0.8844765342960289
600,glue-sst2,0.9529816513761468
600,glue-stsb,0.8726507310436916
700,glue-cola,0.7612655800575263
700,glue-mnli,0.8741721854304636
700,glue-mrpc,0.8578431372549019
700,glue-qnli,0.9379461834157057
700,glue-qqp,0.858743507296562
700,glue-rte,0.8844765342960289
700,glue-sst2,0.9529816513761468
700,glue-stsb,0.8740990316969004
800,glue-cola,0.7603068072866731
800,glue-mnli,0.8752929190015283
800,glue-mrpc,0.8553921568627451
800,glue-qnli,0.9377631338092624
800,glue-qqp,0.8586693049715558
800,glue-rte,0.8844765342960289
800,glue-sst2,0.9529816513761468
800,glue-stsb,0.875276639530772
900,glue-cola,0.7612655800575263
900,glue-mnli,0.8761079979623025
900,glue-mrpc,0.8553921568627451
900,glue-qnli,0.9375800842028189
900,glue-qqp,0.8591887212465991
900,glue-rte,0.8808664259927798
900,glue-sst2,0.9529816513761468
900,glue-stsb,0.8739025713558817
1000,glue-cola,0.7612655800575263
1000,glue-mnli,0.8765155374426897
1000,glue-mrpc,0.8553921568627451
1000,glue-qnli,0.9379461834157057
1000,glue-qqp,0.8585456344298789
1000,glue-rte,0.8808664259927798
1000,glue-sst2,0.9541284403669725
1000,glue-stsb,0.8714280640363421
