model,glue-cola,glue-mnli,glue-mrpc,glue-qnli,glue-qqp,glue-rte,glue-sst2,glue-stsb
pretrained,0.7372962607861937,0.5662761079979624,0.8235294117647058,0.9110378912685337,0.8549591887212467,0.855595667870036,0.9426605504587156,0.8747435247084597
glue-cola,0.8015340364333653,0.5386653082017321,0.8137254901960784,0.9084751967783269,0.845016077170418,0.8411552346570397,0.9392201834862385,0.870853742391036
glue-mnli,0.7372962607861937,0.884666327050433,0.7794117647058824,0.9240344133260113,0.8521147662626762,0.8772563176895307,0.9438073394495413,0.8666553351251526
glue-mrpc,0.7555129434324065,0.5257259296994397,0.8921568627450981,0.9258649093904449,0.8438783081869898,0.8628158844765343,0.9426605504587156,0.8629324202341363
glue-qnli,0.7353787152444871,0.5452878247580234,0.8284313725490197,0.9441698700347795,0.8581251545881771,0.851985559566787,0.9369266055045872,0.8707440250411653
glue-qqp,0.7401725790987536,0.5381558838512481,0.8284313725490197,0.9253157605711148,0.8716299777393025,0.855595667870036,0.944954128440367,0.882609881377456
glue-rte,0.7555129434324065,0.5749363219561895,0.6985294117647058,0.9282445542742083,0.837867919861489,0.9169675090252708,0.9461009174311926,0.8598845397030715
glue-sst2,0.7363374880153404,0.5526235354049923,0.821078431372549,0.9157971810360608,0.8552312639129359,0.851985559566787,0.9518348623853211,0.868678026114545
glue-stsb,0.7344199424736337,0.39266428935303105,0.821078431372549,0.9264140582097748,0.8611179816967598,0.8339350180505415,0.9403669724770642,0.9089845366683775
