epoch,glue-cola,glue-mnli,glue-mrpc,glue-qnli,glue-qqp,glue-rte,glue-sst2,glue-stsb
0,0.7689357622243528,0.8533876719307183,0.8529411764705882,0.9394105802672524,0.8582735592381895,0.8808664259927798,0.9518348623853211,0.8778343530443324
200,0.7679769894534996,0.8766174223127865,0.8480392156862745,0.9375800842028189,0.8582735592381895,0.8844765342960289,0.9529816513761468,0.8772284355853868
400,0.7660594439117929,0.8761079979623025,0.8553921568627451,0.9373970345963756,0.8592381894632698,0.8844765342960289,0.9518348623853211,0.88688594810817
600,0.7679769894534996,0.8754966887417218,0.8553921568627451,0.9370309353834889,0.8585456344298789,0.8808664259927798,0.9518348623853211,0.8765630095943091
800,0.7641418983700863,0.8752929190015283,0.8553921568627451,0.9377631338092624,0.8589413801632451,0.8844765342960289,0.9529816513761468,0.8825743767360684
1000,0.7670182166826462,0.8752929190015283,0.8578431372549019,0.938129233022149,0.8581004204798417,0.8808664259927798,0.9541284403669725,0.8737441673356448
1200,0.7612655800575263,0.8754966887417218,0.8553921568627451,0.9370309353834889,0.8590650507049221,0.8808664259927798,0.9518348623853211,0.8749773339720724
1400,0.7670182166826462,0.8771268466632705,0.8553921568627451,0.938129233022149,0.8574573336631215,0.8808664259927798,0.9529816513761468,0.858319050648353
1600,0.7612655800575263,0.8768211920529801,0.8529411764705882,0.9377631338092624,0.8592629235716053,0.8808664259927798,0.9529816513761468,0.8704480620344233
1800,0.7612655800575263,0.8760061130922058,0.8578431372549019,0.9373970345963756,0.8593865941132822,0.8844765342960289,0.9529816513761468,0.8746499261529395
2000,0.7612655800575263,0.8762098828323994,0.8553921568627451,0.9372139849899322,0.8587187731882265,0.8808664259927798,0.9529816513761468,0.859800650035543
