scaling_coef,glue-cola,glue-mnli,glue-mrpc,glue-qnli,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,0.7372962607861937,0.5662761079979624,0.8235294117647058,0.9110378912685337,0.8549591887212467,0.855595667870036,0.9426605504587156,0.8747435247084597
0.1,0.7411313518696069,0.8116148751910341,0.8357843137254902,0.9264140582097748,0.8615879297551323,0.8664259927797834,0.948394495412844,0.879211909448677
0.2,0.7564717162032598,0.8560366785532348,0.8455882352941176,0.9342851912868387,0.86143952510512,0.8808664259927798,0.9529816513761468,0.88049376519079
0.30000000000000004,0.7689357622243528,0.8544065206316862,0.8529411764705882,0.9392275306608091,0.8584466979965373,0.8808664259927798,0.9518348623853211,0.8775491382532951
0.4,0.7679769894534996,0.7801324503311259,0.8406862745098039,0.9383122826285923,0.8537472174128122,0.8808664259927798,0.9529816513761468,0.8398941510205419
0.5,0.7660594439117929,0.5398879266428935,0.8382352941176471,0.9344682408932821,0.8490230027207519,0.8989169675090253,0.9541284403669725,0.8669236600899286
0.6000000000000001,0.7267497603068073,0.24696892511462049,0.8235294117647058,0.9253157605711148,0.8445955973287163,0.8953068592057761,0.9518348623853211,0.8695183840379488
0.7000000000000001,0.40651965484180247,0.07213448802852776,0.8186274509803921,0.9037159070108,0.8391046252782587,0.8483754512635379,0.944954128440367,0.8592773842136974
0.8,0.0364333652924257,0.0006113092205807438,0.8161764705882353,0.8628958447739338,0.8338857284194905,0.8411552346570397,0.8956422018348624,0.8494417874497936
0.9,0.0,0.0,0.8137254901960784,0.8041369211056196,0.8267375711105615,0.7725631768953068,0.26605504587155965,0.8395978522927606
1.0,0.0,0.0,0.7745098039215687,0.7305509793153945,0.8105861983675489,0.7220216606498195,0.0,0.8292090561566153
