scaling_coef,SUN397,Cars,EuroSAT,GTSRB,MNIST,DTD,RESISC45,SVHN
0.0,0.6318891687657431,0.5964432284541724,0.45037037037037037,0.32557403008709423,0.4825,0.4441489361702128,0.6022222222222222,0.3160725261216964
0.1,0.6535012594458438,0.6353687352319364,0.7044444444444444,0.47561361836896277,0.7791,0.5042553191489362,0.6198412698412699,0.423939766441303
0.2,0.6628715365239295,0.652530779753762,0.81,0.6386381631037213,0.9042,0.5420212765957447,0.5920634920634921,0.47722034419176396
0.30000000000000004,0.6383879093198992,0.6388508891928865,0.8729629629629629,0.7520981789390341,0.9572,0.5664893617021277,0.5252380952380953,0.49946220036877687
0.4,0.5385390428211587,0.5804004477055092,0.8425925925925926,0.7758511480601742,0.9741,0.5441489361702128,0.41095238095238096,0.4953902888752305
0.5,0.3693198992443325,0.46673299340878,0.7233333333333334,0.7646080760095012,0.9805,0.4898936170212766,0.286984126984127,0.47372464658881375
0.6000000000000001,0.19531486146095717,0.31065787837333664,0.5944444444444444,0.723119556611243,0.9774,0.41595744680851066,0.20396825396825397,0.4377304855562385
0.7000000000000001,0.09133501259445843,0.1625419723914936,0.4911111111111111,0.6534441805225654,0.9642,0.34202127659574466,0.1380952380952381,0.38829133374308544
0.8,0.04075566750629723,0.06765327695560254,0.4166666666666667,0.5566112430720507,0.9311,0.28085106382978725,0.09174603174603174,0.3327443146896128
0.9,0.018287153652392946,0.02536997885835095,0.3674074074074074,0.46896278701504357,0.8535,0.22074468085106383,0.06412698412698413,0.28365089121081744
1.0,0.009571788413098237,0.013679890560875513,0.3277777777777778,0.3802850356294537,0.7296,0.1696808510638298,0.04968253968253968,0.23939766441303012
