scaling_coef,SUN397,Cars,EuroSAT,GTSRB,MNIST,DTD,RESISC45,SVHN
0.0,0.6318891687657431,0.5964432284541724,0.45037037037037037,0.32557403008709423,0.4825,0.4441489361702128,0.6022222222222222,0.3160725261216964
0.1,0.6523425692695214,0.6280313393856486,0.6233333333333333,0.43032462391132226,0.7131,0.4829787234042553,0.6165079365079366,0.3867547633681623
0.2,0.6689672544080605,0.6543962193756996,0.7248148148148148,0.547347585114806,0.8565,0.5319148936170213,0.6088888888888889,0.44814074984634295
0.30000000000000004,0.6777329974811083,0.6715582638975252,0.7888888888888889,0.6776722090261282,0.9284,0.5622340425531915,0.5841269841269842,0.4933543331284573
0.4,0.6642317380352645,0.6710608133316751,0.8377777777777777,0.7506730007917657,0.9638,0.5787234042553191,0.5488888888888889,0.5230485556238476
0.5,0.6160201511335013,0.6424574057952991,0.8733333333333333,0.789944576405384,0.9794,0.5680851063829787,0.48523809523809525,0.5414874001229256
0.6000000000000001,0.517632241813602,0.5852505907225469,0.8622222222222222,0.8003167062549486,0.9863,0.5547872340425531,0.3976190476190476,0.5453672403196066
0.7000000000000001,0.37561712846347606,0.5046635990548439,0.8003703703703704,0.795249406175772,0.9901,0.5127659574468085,0.30523809523809525,0.537338660110633
0.8,0.23062972292191436,0.40604402437507775,0.7040740740740741,0.7847189231987332,0.9908,0.46382978723404256,0.23396825396825396,0.5211662569145666
0.9,0.12952141057934508,0.3059320979977615,0.5977777777777777,0.765637371338084,0.99,0.41329787234042553,0.18206349206349207,0.4989244007375538
1.0,0.06770780856423174,0.2156448202959831,0.5166666666666667,0.7294536817102137,0.989,0.3680851063829787,0.14,0.4732636754763368
