epoch,dataset,acc
0,SUN397,0.6381863979848866
0,Cars,0.6383534386270364
0,EuroSAT,0.8722222222222222
0,GTSRB,0.7539192399049881
0,MNIST,0.9563
0,DTD,0.5654255319148936
0,RESISC45,0.5244444444444445
0,SVHN,0.49827135832821146
200,SUN397,0.6707808564231738
200,Cars,0.7163288148240269
200,EuroSAT,0.9725925925925926
200,GTSRB,0.9574821852731591
200,MNIST,0.9832
200,DTD,0.6446808510638298
200,RESISC45,0.48174603174603176
200,SVHN,0.5886216963736939
400,SUN397,0.6622166246851385
400,Cars,0.7301330680263649
400,EuroSAT,0.9562962962962963
400,GTSRB,0.9495645288994458
400,MNIST,0.9788
400,DTD,0.6553191489361702
400,RESISC45,0.5025396825396825
400,SVHN,0.5773279041180086
600,SUN397,0.6747103274559194
600,Cars,0.7242880238776271
600,EuroSAT,0.9522222222222222
600,GTSRB,0.9718923198733175
600,MNIST,0.9732
600,DTD,0.6712765957446809
600,RESISC45,0.4963492063492064
600,SVHN,0.5971880762138906
800,SUN397,0.695264483627204
800,Cars,0.7139659246362393
800,EuroSAT,0.9533333333333334
800,GTSRB,0.9741884402216944
800,MNIST,0.9755
800,DTD,0.7090425531914893
800,RESISC45,0.48984126984126986
800,SVHN,0.5908881376767056
1000,SUN397,0.6927959697732997
1000,Cars,0.693943539360776
1000,EuroSAT,0.945925925925926
1000,GTSRB,0.97513855898654
1000,MNIST,0.9878
1000,DTD,0.6771276595744681
1000,RESISC45,0.48412698412698413
1000,SVHN,0.6259987707437
1200,SUN397,0.6999496221662469
1200,Cars,0.7087426936948141
1200,EuroSAT,0.9674074074074074
1200,GTSRB,0.9620744259699129
1200,MNIST,0.9825
1200,DTD,0.7074468085106383
1200,RESISC45,0.5026984126984126
1200,SVHN,0.576021819299324
1400,SUN397,0.6686649874055416
1400,Cars,0.6950628031339385
1400,EuroSAT,0.9451851851851852
1400,GTSRB,0.9716547901821061
1400,MNIST,0.9919
1400,DTD,0.6664893617021277
1400,RESISC45,0.44063492063492066
1400,SVHN,0.6151275353411186
1600,SUN397,0.6870025188916876
1600,Cars,0.6999129461509762
1600,EuroSAT,0.9692592592592593
1600,GTSRB,0.9659540775930324
1600,MNIST,0.9936
1600,DTD,0.6659574468085107
1600,RESISC45,0.4749206349206349
1600,SVHN,0.6222725875845113
1800,SUN397,0.6932997481108313
1800,Cars,0.7015296604899888
1800,EuroSAT,0.9737037037037037
1800,GTSRB,0.9612034837688044
1800,MNIST,0.991
1800,DTD,0.6792553191489362
1800,RESISC45,0.4623809523809524
1800,SVHN,0.6066379840196681
2000,SUN397,0.6989420654911839
2000,Cars,0.7088670563362766
2000,EuroSAT,0.977037037037037
2000,GTSRB,0.9758511480601741
2000,MNIST,0.9837
2000,DTD,0.6712765957446809
2000,RESISC45,0.4861904761904762
2000,SVHN,0.6152811923786109
