epoch,glue-cola,glue-mnli,glue-mrpc,glue-qnli,glue-qqp,glue-rte,glue-sst2,glue-stsb
0,0.6922339405560882,0.5554763117677025,0.7843137254901961,0.8974922203917262,0.836804353203067,0.7906137184115524,0.9151376146788991,0.7278775926401418
200,0.6912751677852349,0.6012226184411615,0.8014705882352942,0.900054914881933,0.833292109819441,0.7906137184115524,0.9185779816513762,0.743128698932654
400,0.6922339405560882,0.6014263881813551,0.7990196078431373,0.900054914881933,0.833663121444472,0.7906137184115524,0.9185779816513762,0.7477900146876356
600,0.6941514860977949,0.6032603158430973,0.7965686274509803,0.899505766062603,0.8324016819193668,0.7906137184115524,0.9162844036697247,0.7495474761679474
800,0.6922339405560882,0.5978604177279674,0.7941176470588235,0.899505766062603,0.832475884244373,0.7906137184115524,0.9174311926605505,0.7477621400290311
1000,0.6941514860977949,0.5928680590932247,0.803921568627451,0.8984074684239429,0.8317091268859758,0.7942238267148014,0.9174311926605505,0.7503131382763889
1200,0.6931927133269415,0.5952114111054508,0.7941176470588235,0.8984074684239429,0.8316349245609695,0.7942238267148014,0.9185779816513762,0.7469997544528584
1400,0.6931927133269415,0.5924605196128375,0.8014705882352942,0.8984074684239429,0.8307692307692308,0.7978339350180506,0.9208715596330275,0.7511565585454257
1600,0.6941514860977949,0.590728476821192,0.8063725490196079,0.8982244188174996,0.8266881028938907,0.776173285198556,0.9174311926605505,0.7575137471569636
1800,0.6903163950143816,0.5952114111054508,0.8063725490196079,0.8982244188174996,0.8281226811773436,0.7833935018050542,0.9174311926605505,0.7552934066020769
2000,0.6903163950143816,0.5903209373408049,0.8014705882352942,0.8987735676368296,0.829779866435815,0.7906137184115524,0.9185779816513762,0.7569870991171818
