epoch,glue-cola,glue-mnli,glue-mrpc,glue-qnli,glue-qqp,glue-rte,glue-sst2,glue-stsb
0,0.6922339405560882,0.5554763117677025,0.7843137254901961,0.8974922203917262,0.836804353203067,0.7906137184115524,0.9151376146788991,0.7278775926401418
200,0.6893576222435283,0.5587366276107998,0.7892156862745098,0.8976752699981695,0.8366312144447192,0.7906137184115524,0.9151376146788991,0.7247780061973612
400,0.6922339405560882,0.5652572592969944,0.7843137254901961,0.8974922203917262,0.8360870640613406,0.7906137184115524,0.9151376146788991,0.7247605218132341
600,0.6922339405560882,0.5700458481915436,0.7892156862745098,0.8978583196046128,0.8365570121197131,0.7870036101083032,0.9151376146788991,0.7260552749111568
800,0.6922339405560882,0.5743250127356088,0.7843137254901961,0.8976752699981695,0.8369527578530794,0.7906137184115524,0.9151376146788991,0.7296340917754603
1000,0.6931927133269415,0.5771777890983188,0.7892156862745098,0.8978583196046128,0.835988127627999,0.7870036101083032,0.9162844036697247,0.7291536126834813
1200,0.6883988494726749,0.5782985226693836,0.7867647058823529,0.8987735676368296,0.8367548849863963,0.7942238267148014,0.9139908256880734,0.7334228608757483
1400,0.6922339405560882,0.5785022924095772,0.7867647058823529,0.8976752699981695,0.8364086074697007,0.7906137184115524,0.9162844036697247,0.7350748471217737
1600,0.6874400767018217,0.5798267957208355,0.7892156862745098,0.8991396668497162,0.8369032896364086,0.7870036101083032,0.9151376146788991,0.7315967103167134
1800,0.6922339405560882,0.5820682628629649,0.7818627450980392,0.8996888156690463,0.8359633935196636,0.7942238267148014,0.9162844036697247,0.7324141637630194
2000,0.6912751677852349,0.5814569536423841,0.7843137254901961,0.8985905180303863,0.8354687113529558,0.7942238267148014,0.9162844036697247,0.7374839460685627
