scaling_coef,glue-cola,glue-mnli,glue-mrpc,glue-qnli,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,0.6912751677852349,0.5645440652063168,0.7622549019607843,0.8844956983342486,0.821197130843433,0.8014440433212996,0.911697247706422,0.6219045336563466
0.1,0.6951102588686481,0.5975547631176771,0.7867647058823529,0.8969430715723962,0.8363096710363591,0.8050541516245487,0.9105504587155964,0.7069274958058795
0.2,0.6931927133269415,0.5900152827305145,0.7867647058823529,0.9013362621270364,0.8383873361365323,0.7906137184115524,0.9151376146788991,0.7286622588981955
0.30000000000000004,0.6883988494726749,0.551808456444218,0.7867647058823529,0.8978583196046128,0.8367301508780608,0.7906137184115524,0.9151376146788991,0.7238150528050229
0.4,0.6807286673058485,0.31349974528782476,0.7769607843137255,0.8874244920373421,0.8331684392777641,0.7870036101083032,0.911697247706422,0.6890321045777721
0.5,0.6596356663470757,0.022414671421293938,0.7867647058823529,0.8628958447739338,0.8262428889438536,0.779783393501805,0.9036697247706422,0.7423944392503774
0.6000000000000001,0.059443911792905084,0.00010188487009679063,0.7843137254901961,0.8116419549697969,0.8158545634429879,0.7436823104693141,0.8818807339449541,0.7492541932677858
0.7000000000000001,0.0,0.0,0.7696078431372549,0.7408017572762219,0.7979223348998269,0.6606498194945848,0.7075688073394495,0.7468167087222178
0.8,0.0,0.0,0.7401960784313726,0.6745377997437305,0.7698738560474895,0.6209386281588448,0.08142201834862385,0.7253357297657413
0.9,0.0,0.0,0.6666666666666666,0.6051619989017024,0.7169428642097453,0.5848375451263538,0.0,0.7157390221994995
1.0,0.0,0.0,0.4632352941176471,0.5059491122094087,0.5625525599802127,0.5234657039711191,0.0,0.698351132539881
