epoch,dataset,acc
0,SUN397,0.6692191435768262
0,Cars,0.6783982091779629
0,RESISC45,0.8325396825396826
0,SVHN,0.8841041794714198
0,GTSRB,0.8882818685669042
0,DTD,0.6037234042553191
0,MNIST,0.7961
0,EuroSAT,0.5155555555555555
100,SUN397,0.670528967254408
100,Cars,0.6912075612486009
100,RESISC45,0.866984126984127
100,SVHN,0.9207513829133375
100,GTSRB,0.9404592240696754
100,DTD,0.6212765957446809
100,MNIST,0.8115
100,EuroSAT,0.52
200,SUN397,0.6710327455919396
200,Cars,0.6979231438875761
200,RESISC45,0.8855555555555555
200,SVHN,0.9294714197910264
200,GTSRB,0.9570863024544735
200,DTD,0.6356382978723404
200,MNIST,0.8202
200,EuroSAT,0.5255555555555556
300,SUN397,0.6736020151133502
300,Cars,0.6994154955851263
300,RESISC45,0.895079365079365
300,SVHN,0.9329671173939766
300,GTSRB,0.961520190023753
300,DTD,0.6484042553191489
300,MNIST,0.8257
300,EuroSAT,0.5344444444444445
400,SUN397,0.6761712846347607
400,Cars,0.7025245616216889
400,RESISC45,0.8993650793650794
400,SVHN,0.9371158574062692
400,GTSRB,0.9641330166270784
400,DTD,0.651595744680851
400,MNIST,0.8294
400,EuroSAT,0.5374074074074074
500,SUN397,0.678639798488665
500,Cars,0.7036438253948514
500,RESISC45,0.9033333333333333
500,SVHN,0.9388060848186847
500,GTSRB,0.9676959619952494
500,DTD,0.6547872340425532
500,MNIST,0.8328
500,EuroSAT,0.5403703703703704
600,SUN397,0.6824685138539043
600,Cars,0.7060067155826389
600,RESISC45,0.9060317460317461
600,SVHN,0.9390749846342963
600,GTSRB,0.9693586698337292
600,DTD,0.6617021276595745
600,MNIST,0.8333
600,EuroSAT,0.5448148148148149
700,SUN397,0.6843828715365239
700,Cars,0.7088670563362766
700,RESISC45,0.9087301587301587
700,SVHN,0.940880454824831
700,GTSRB,0.9700712589073635
700,DTD,0.6622340425531915
700,MNIST,0.8355
700,EuroSAT,0.5503703703703704
800,SUN397,0.684735516372796
800,Cars,0.7119761223728392
800,RESISC45,0.9103174603174603
800,SVHN,0.9407267977873387
800,GTSRB,0.9714172604908947
800,DTD,0.6638297872340425
800,MNIST,0.8349
800,EuroSAT,0.547037037037037
900,SUN397,0.6884130982367758
900,Cars,0.7154582763337893
900,RESISC45,0.9111111111111111
900,SVHN,0.9410341118623233
900,GTSRB,0.9733174980205859
900,DTD,0.6659574468085107
900,MNIST,0.8359
900,EuroSAT,0.5466666666666666
1000,SUN397,0.6886649874055416
1000,Cars,0.7168262653898769
1000,RESISC45,0.9122222222222223
1000,SVHN,0.9411109403810695
1000,GTSRB,0.9748218527315915
1000,DTD,0.6686170212765957
1000,MNIST,0.8361
1000,EuroSAT,0.5388888888888889
