scaling_coef,SUN397,Cars,RESISC45,SVHN,GTSRB,DTD,MNIST,EuroSAT
0.0,0.6318891687657431,0.5964432284541724,0.6022222222222222,0.3160725261216964,0.32557403008709423,0.4441489361702128,0.4825,0.45037037037037037
0.1,0.6547607052896726,0.6323840318368362,0.7001587301587302,0.5610786724031961,0.485193982581156,0.5111702127659574,0.6463,0.48962962962962964
0.2,0.6641813602015113,0.6483024499440369,0.7474603174603175,0.7392055931161647,0.6884402216943785,0.550531914893617,0.7407,0.482962962962963
0.30000000000000004,0.6337027707808565,0.6228081084442234,0.7531746031746032,0.8466118623232944,0.8040380047505938,0.5797872340425532,0.7728,0.4559259259259259
0.4,0.5309319899244332,0.5466981718691705,0.6957142857142857,0.8917486170866625,0.8350752177355503,0.5702127659574469,0.7856,0.38
0.5,0.35239294710327457,0.4220868051237408,0.5598412698412698,0.9043869084204057,0.8288202692003167,0.5069148936170212,0.7805,0.2562962962962963
0.6000000000000001,0.18831234256926951,0.2773286904613854,0.396031746031746,0.8970881991395205,0.7882026920031671,0.42925531914893617,0.742,0.17629629629629628
0.7000000000000001,0.09516372795969773,0.1411515980599428,0.2623809523809524,0.8781115550092194,0.7202692003167063,0.3473404255319149,0.6536,0.13148148148148148
0.8,0.04795969773299748,0.05161049620693944,0.1707936507936508,0.8469191763982791,0.6451306413301663,0.2856382978723404,0.5377,0.11962962962962963
0.9,0.024785894206549117,0.018530033577913194,0.11682539682539683,0.8083128457283344,0.5593824228028503,0.21595744680851064,0.4349,0.11296296296296296
1.0,0.015214105793450882,0.01119263773162542,0.08285714285714285,0.7543023970497849,0.45977830562153604,0.1702127659574468,0.3378,0.11370370370370371
