epoch,dataset,acc
1000,Cars,0.7653276955602537
1000,EuroSAT,0.9674074074074074
1000,RESISC45,0.8603174603174604
1000,GTSRB,0.8298495645288995
2000,Cars,0.7716701902748414
2000,EuroSAT,0.97
2000,RESISC45,0.8666666666666667
2000,GTSRB,0.8489311163895487
